x,location_id,sample_id,maize_flour_type,other_types,source,months_since_harvest,village,ward,latitude,longitude,elevation_m,af_ppb,fum_ppm,hh_mill,mill_id,mill_lat,mill_long
113,17nov15_016,HH36_FMN_101,sembe,NA,homegrown,4,Iduo,Iduo,-6.26817946,36.64854366,1217,6.3,0.02,hh,NA,NA,NA
101,13nov15_012,HH37_FMN_104,dona,NA,homegrown,4,Iduo,Iduo,-6.26637499,36.6495716,1190,1.9,0.02,hh,NA,NA,NA
93,12nov15_008,HH38_FMN_106,sembe,NA,homegrown,4,Suguta,Iduo,-6.29481232,36.68392587,1122,8.7,1.76,hh,NA,NA,NA
96,13nov15_011,HH39_FMN_109,sembe,NA,homegrown,4,Suguta,Iduo,-6.29440312,36.68263059,1113,0.5,0.67,hh,NA,NA,NA
107,16nov15_014,HH40_FMN_116,sembe,NA,homegrown,4,Suguta,Iduo,-6.29625732,36.68313858,1108,2.2,0.02,hh,NA,NA,NA
117,18nov15_017,HH42_FMN_120,dona,NA,purchased,NA,Sejeli,Sejeli,-6.02524897,36.32058366,987,2.4,0.06,hh,NA,NA,NA
118,18nov15_017,HH43_FMN_122,dona,NA,purchased,5,Sejeli,Sejeli,-6.03206469,36.32265645,974,113.4,0.07,hh,NA,NA,NA
119,18nov15_017,HH44_FMN_123,sembe,NA,NA,NA,Sejeli,Sejeli,-6.03206469,36.32265645,974,26.3,0.21,hh,NA,NA,NA
131,20nov15_021,HH45_FMN_127,dona,NA,purchased,5,Msunjilile,Sejeli,-5.96326283,36.35385413,1059,15.2,0.17,hh,NA,NA,NA
120,18nov15_018,HH46_FMN_128,dona,NA,purchased,5,Msunjilile,Sejeli,-5.96281479,36.35437528,1066,90.5,0.37,hh,NA,NA,NA
134,20nov15_022,HH47_FMN_129,dona,NA,purchased,5,Msunjilile,Sejeli,-5.96445129,36.35329009,1054,13.6,0.79,hh,NA,NA,NA
94,12nov15_009,HH49_FMN_132,dona,NA,homegrown,4,Chilanjilizi,Ngomai,-5.88888871,36.61539589,1274,13.7,0.44,hh,NA,NA,NA
133,20nov15_021,HH50_FMN_136,soaked_sembe,NA,purchased,4,Chilanjilizi,Ngomai,-5.8885062,36.6147949,1307,1.7,0.04,hh,NA,NA,NA
121,18nov15_018,HH51_FMN_140,dona,NA,purchased,5,Chilanjilizi,Ngomai,-5.888266,36.61361628,1265,6.3,0.64,hh,NA,NA,NA
111,17nov15_015,HH52_FMN_142,sembe,NA,homegrown,4,Chilanjilizi,Ngomai,-5.88943593,36.6141072,1268,5.3,0.01,hh,NA,NA,NA
128,19nov15_020,HH53_FMN_146,sembe,NA,purchased,NA,Manyata,Ngomai,-6.02355318,36.64137149,1205,7.2,0.01,hh,NA,NA,NA
115,17nov15_016,HH54_FMN_149,sembe,NA,homegrown,6,Manyata,Ngomai,-6.02560092,36.64114806,1177,3.8,0,hh,NA,NA,NA
124,19nov15_019,HH55_FMN_151,dona,NA,homegrown,4,Makawa,Makawa,-5.7553799,36.54243241,1301,8.3,0.1,hh,NA,NA,NA
122,18nov15_018,HH56_FMN_153,dona,NA,purchased,4,Makawa,Makawa,-5.75578616,36.54194551,1305,10,0.11,hh,NA,NA,NA
135,20nov15_022,HH57_FMN_156,soaked_sembe,NA,purchased,4,Makawa,Makawa,-5.75496578,36.54089909,1291,22.8,0.14,hh,NA,NA,NA
132,20nov15_021,HH58_FMN_160,soaked_sembe,NA,purchased,4,Makawa,Makawa,-5.75326199,36.53960874,1294,7.4,0.03,hh,NA,NA,NA
126,19nov15_019,HH59_FMN_162b,dona,NA,purchased,4,Muungano,Makawa,-5.76086043,36.54977352,1332,17.8,0.36,hh,NA,NA,NA
136,20nov15_022,HH60_FMN_164,soaked_sembe,NA,purchased,5,Muungano,Makawa,-5.76165495,36.55031928,1317,2,0.23,hh,NA,NA,NA
125,19nov15_019,HH61_FMN_167,soaked_sembe,NA,purchased,6,Muungano,Makawa,-5.76163748,36.54942761,1304,5.3,0.14,hh,NA,NA,NA
