sample_id,grain_mill_id,longitude,latitude,village,walking_distance_min,flour_type,source,elevation_m,af_ppb,af_log10ppb,fum_ppm,fum_log10ppm
54_3,54,36.4045987,-6.1447592,Machenje,60,sembe,homegrown,1406.426404,27.002,1.431395933,0.225,-0.647817482
54_4,54,36.4045987,-6.1447592,Machenje,30,dona,homegrown,1381.078297,51.76,1.713994268,3.749,0.57391544
55_1,55,36.6158901,-5.8889119,Chilanjilizi,2,kiwerege,homegrown,1145.33519,2.136,0.329601248,0.183,-0.73754891
55_2,55,36.6158901,-5.8889119,Chilanjilizi,5,NA,homegrown,1161.010388,367.94,2.565777004,0.313,-0.504455662
55_3,55,36.6158901,-5.8889119,Chilanjilizi,15,dona,homegrown,1406.426404,81.02,1.908592239,0.568,-0.245651664
55_4,55,36.6158901,-5.8889119,Chilanjilizi,5,sembe,homegrown,1381.078297,13.65,1.135132651,0.546,-0.262807357
56_1,56,36.61526849,-5.888490397,Chilanjilizi,28,NA,homegrown,1145.33519,6.702,0.826204423,1.081,0.033825694
57_1,57,36.6304593,-5.9393264,Ngomai,30,dona,homegrown,1145.33519,119.68,2.078021581,0.496,-0.304518324
57_3,57,36.6304593,-5.9393264,Ngomai,90,dona,homegrown,1406.426404,69.96,1.844849801,2.355,0.371990911
58_1,58,36.62928749,-5.936183025,Ngomai,120,kiwerege,homegrown,1145.33519,2.968,0.472463897,0.101,-0.995678626
58_2,58,36.62928749,-5.936183025,Ngomai,30,dona,homegrown,1161.010388,354.54,2.54966524,4.216,0.624900602
58_4,58,36.62928749,-5.936183025,Ngomai,30,dona,homegrown,1381.078297,9.878,0.994669022,0.617,-0.209714836
59_1,59,36.63571197,-5.947234971,Ngomai,NA,dona,homegrown,1145.33519,82.94,1.918764031,4.74,0.675778342
59_2,59,36.63571197,-5.947234971,Ngomai,NA,kiwerege,homegrown,1161.010388,21.85,1.339451441,1.014,0.006037955
6_1,6,36.65309281,-6.123876677,Kibaigwa,90,sembe,homegrown,1145.33519,81,1.908485019,0.571,-0.243363892
6_2,6,36.65309281,-6.123876677,Kibaigwa,90,dona,homegrown,1161.010388,255.4,2.407220893,1.039,0.016615548
6_3,6,36.65309281,-6.123876677,Kibaigwa,100,dona,homegrown,1406.426404,56.76,1.754042387,1.02,0.008600172
